[940987,851053] [949020,843996]
[937683,869998] [938045,881005]
[139996,423011] [151000,423072]
[326993,276043] [337000,271907]
[191949,973999] [192027,985002]
[984947,459003] [985048,447999]
[265976,840009] [270013,829959]
[800949,87998] [802100,99001]
[262983,135009] [274014,133878]
[828982,851043] [838005,844921]
[704996,930978] [716003,932036]
[902992,153906] [914004,155061]
[793989,432978] [803008,439026]
[381000,785012] [376954,774993]
[568997,797167] [580001,796844]
[308975,565986] [315030,575027]
[850996,398021] [862012,396989]
[89983,503997] [97029,512009]
[426990,606019] [436022,599987]
[695972,624005] [697181,612999]
[295995,428000] [297018,416998]
[311036,604991] [309882,616004]
[610000,495044] [607984,483989]
[712989,984011] [724010,981948]
[939985,544055] [951005,541984]
[728971,893005] [735039,883989]
[866038,949996] [863930,961001]
[947946,124004] [950012,112991]
[366983,102023] [375002,93968]
[615999,528962] [624021,537019]
[957998,759015] [965024,749982]
[646985,982007] [654012,972975]
[329998,261983] [337041,271028]
[56986,890994] [64019,900025]
[12934,136010] [19019,125972]
[763089,668001] [762888,655989]
[868940,391005] [877009,382992]
[202991,634016] [213021,627976]
[520991,940032] [531011,933952]
[409991,463024] [416053,452979]
[664994,970075] [677006,969807]
[828994,851982] [839024,858002]
[236976,551943] [248001,556001]
[512794,248999] [513031,261000]
[965995,749029] [978006,748762]
[920926,372010] [923044,359993]
[226989,203976] [239005,206161]
[385036,967024] [379957,955992]
[243983,649957] [256015,652009]
[255997,423963] [268010,426026]
[208034,646025] [202975,634975]
[624981,537058] [637017,534977]
[910994,552018] [921006,544953]
[281980,827956] [291001,836040]
[58953,439009] [62017,426999]
[119984,152986] [129012,161004]
[68997,991987] [81015,995033]
[858989,996005] [870000,990998]
[498990,970014] [508007,961990]
[940068,851009] [936979,838988]
[831851,369006] [835025,356991]
[870983,990966] [881007,998035]
[557999,476991] [565002,487006]
[810990,599992] [818008,610002]
[779998,663988] [792003,667000]
[657996,141033] [669041,134971]
[726981,401965] [733055,413007]
[678970,593081] [691016,588991]
[337995,271011] [344018,259983]
[731985,154007] [736056,141988]
[86986,18928] [99031,23003]
[55974,913969] [60014,926029]
[382821,119999] [383047,133001]
[883993,662999] [896019,667015]
[443991,313029] [454002,304961]
[10826,757999] [11213,771005]
[45989,356064] [54000,345943]
[424994,678983] [437012,684029]
[589980,798008] [599002,788958]
[514966,966967] [524005,976008]
[132994,472019] [142020,462997]
[393962,548014] [405019,540946]
[693075,664018] [690930,650995]
[347987,88026] [359014,80983]
[656007,343005] [642997,339976]
[301986,363010] [313034,355999]
[179003,595016] [175971,581975]
[62985,426002] [66076,412959]
[316998,35976] [330007,39060]
[458998,618977] [472002,622024]
[426923,606997] [430032,620005]
[768960,22001] [772022,8978]
[44992,659971] [57023,666034]
[308985,565048] [321033,558978]
[384995,747969] [392017,759029]
[31068,52996] [26964,66012]
[495003,764999] [484985,774068]
[773994,270001] [786002,263977]
[696975,824010] [703083,811994]
[261977,45986] [272012,55013]
[462957,633008] [472030,622954]
[805964,585999] [810016,599005]
[991998,166008] [996016,152997]
[967991,208030] [979010,199950]
[531984,933013] [543011,924924]
[935991,451024] [944005,439975]
[487943,297003] [488063,282999]
[387993,584019] [396010,572964]
[782990,782977] [794029,791035]
[358999,31509] [373000,31482]
[587990,257037] [600052,249969]
[441981,512008] [453004,503996]
[909995,878043] [918011,866957]
[144991,446009] [150019,432981]
[455996,734094] [470015,731933]
[432989,799992] [446000,805071]
[70990,631999] [83018,639048]
[471922,428017] [477031,414983]
[318984,870046] [333018,867982]
[524977,976002] [532034,963986]
[144992,446881] [159020,449016]
[879920,647974] [883005,662010]
[855990,855945] [867009,865054]
[229942,565005] [236031,551994]
[873944,327973] [885029,337001]
[849992,75020] [856013,61993]
[271992,813011] [278041,799985]
[56975,890007] [71032,885990]
[55976,913013] [64016,900987]
[978951,748997] [987001,761010]
[746986,538106] [761012,533958]
[389988,932030] [402011,923968]
[365953,7997] [374012,20006]
[952970,496978] [960009,510003]
[388995,915924] [402000,923008]
[270993,829002] [271165,813999]
[747053,680000] [739903,666992]
[411992,547993] [425026,555032]
[266988,651893] [282003,653189]
[588952,342993] [602018,350016]
[59997,714060] [75015,712935]
[10990,757010] [21003,745970]
[292991,382995] [300006,396005]
[142903,462004] [144222,446998]
[170999,315060] [186001,313990]
[740035,546999] [734924,561009]
[839996,858067] [855002,855968]
[467975,541035] [483000,538882]
[464985,557005] [467115,541994]
[417992,844005] [433002,840912]
[112961,695012] [115008,679993]
[219970,290970] [232018,300020]
[897986,542949] [910001,552059]
[877977,382997] [892016,389031]
[525995,221902] [541018,225075]
[808996,632987] [812002,648003]
[659974,498013] [668024,484983]
[771986,538001] [785019,529998]
[184995,75896] [200012,80031]
[556967,216938] [572007,221028]
[763996,668057] [779022,663969]
[254938,669016] [259023,653993]
[404984,705971] [420006,710000]
[521985,475003] [530044,461987]
[226991,203020] [231028,187999]
[31998,52308] [48000,51780]
[427993,743021] [442002,735981]
[203976,461005] [216018,450978]
[594979,950037] [606007,938990]
[298921,39998] [299026,56004]
[57023,666989] [49946,681013]
[473961,274985] [488021,282030]
[732964,638994] [745003,649016]
[899212,525999] [897988,542011]
[840989,497036] [851072,484993]
[53997,999025] [68005,991973]
[812993,648005] [829009,645909]
[751987,19986] [768009,22054]
[345998,883925] [362018,886000]
[628976,329976] [642053,339006]
[95994,906003] [110004,898999]
[163917,683995] [166162,700002]
[324997,486969] [334001,500006]
[457032,287997] [454998,304007]
[992857,959002] [995002,942989]
[227980,798010] [244001,794972]
[277962,862051] [293006,855923]
[92988,182963] [107062,191001]
[938990,881945] [954007,888069]
[250932,686003] [254028,669992]
[216988,450984] [233003,454051]
[541964,225000] [556014,216991]
[565971,487007] [577020,474978]
[546951,678985] [551010,695025]
[343958,754998] [355014,767034]
[344998,259892] [361003,264038]
[793999,432029] [807007,421971]
[648015,483011] [634978,472993]
[964948,342002] [976015,329959]
[885963,337993] [893012,353000]
[820966,835995] [828019,851007]
[8993,262979] [22003,273011]
[844971,609981] [852042,625000]
[543998,924960] [559010,932025]
[385984,967999] [399014,978025]
[103036,358019] [93961,343972]
[120944,393977] [126029,410010]
[116997,249976] [134002,251158]
[540955,805961] [555000,815029]
[26842,66998] [27044,84004]
[545932,712010] [551005,695994]
[739949,666013] [745051,649994]
[178999,220941] [196007,222192]
[576977,694981] [591005,704042]
[579908,58000] [585004,41983]
[760947,752000] [766005,735974]
[916998,182964] [933015,188006]
[321818,558005] [323044,540993]
[98997,247750] [116000,249041]
[573992,712009] [576038,694993]
[206994,578998] [221029,588018]
[745985,649980] [762003,655027]
[263999,461037] [280030,455981]
[874882,364998] [877023,382016]
[502909,141004] [511004,125989]
[977981,306012] [986010,290998]
[940078,851994] [937994,869006]
[310002,617997] [306956,635005]
[912995,808970] [930001,811153]
[241991,882017] [253012,868994]
[298986,39085] [316000,35903]
[342994,780025] [355014,767996]
[894984,804995] [912036,808022]
[146992,690018] [163009,683999]
[380963,815984] [397000,822021]
[225979,9981] [237030,23002]
[126986,410964] [139003,423039]
[608003,60968] [601929,77002]
[54981,345973] [72028,350008]
[843996,693008] [861001,688851]
[648998,483960] [659002,498036]
[702996,707033] [717038,696983]
[368956,692009] [378007,676993]
[505993,593071] [523004,587996]
[176983,705001] [194007,699965]
[773973,270992] [783023,286002]
[263997,461974] [269078,479019]
[161884,636999] [162223,655000]
[647036,458971] [634990,472024]
[535986,450010] [549012,437994]
[958970,191971] [967012,208033]
[661251,681997] [660910,700004]
[406985,684026] [424003,678984]
[665995,781050] [684000,779871]
[617942,757000] [631019,744936]
[21958,745990] [34036,759024]
[918977,866961] [937008,869031]
[237988,23025] [252020,11974]
[787995,905991] [790096,924004]
[799971,210994] [811036,225019]
[618988,457970] [632027,470021]
[71983,885000] [80031,868999]
[616995,876965] [633004,885041]
[485992,822943] [503030,829004]
[302994,696006] [305005,677995]
[815992,888956] [834011,891044]
[758999,105122] [776001,98962]
[681991,964028] [700000,961872]
[104992,946004] [108038,927976]
[951981,541042] [970005,537998]
[819058,975995] [814993,994008]
[666992,87983] [685001,90001]
[28954,543006] [39032,527991]
[711988,760971] [727024,771002]
[461998,234846] [480001,238096]
[135995,505961] [154006,510014]
[869981,912967] [888001,917101]
[390911,724005] [400005,707986]
[319995,958923] [338004,963114]
[360995,827985] [377003,837016]
[172990,968950] [191014,973001]
[314982,503018] [324055,486987]
[676981,629026] [695004,624987]
[423989,520010] [441007,512979]
[738989,370978] [753051,383016]
[131971,114976] [148000,124005]
[22975,273002] [32008,256980]
[820994,835018] [826064,816991]
[383991,133980] [398046,146003]
[47995,73031] [65015,65999]
[730985,75031] [748012,67986]
[673999,664624] [693000,664835]
[30977,326016] [42014,310987]
[123993,596187] [143002,595732]
[164973,109002] [180012,97994]
[925997,910090] [945000,909645]
[596175,21999] [595925,41002]
[856754,61000] [857010,41981]
[333955,867975] [345016,883023]
[463948,153010] [481015,144980]
[239979,206018] [251002,190966]
[487988,297862] [507001,299091]
[43996,758119] [63000,756866]
[651991,740986] [662026,757005]
[297979,416001] [300087,396990]
[257984,766025] [276006,759974]
[391018,604001] [387974,584993]
[169939,724010] [176021,705979]
[322974,333000] [325123,313999]
[381988,785997] [401003,789077]
[359988,80980] [375013,93049]
[703961,811009] [713064,793988]
[267988,509986] [275094,528008]
[719989,790008] [727041,771995]
[555913,815992] [563027,834011]
[651003,740995] [631985,744026]
[597984,218012] [612044,204983]
[141913,711990] [149012,730004]
[457974,287000] [473043,274998]
[786986,263995] [806004,268021]
[69994,218039] [77003,199997]
[104992,946004] [124002,941921]
[422988,946999] [439002,958014]
[476990,381996] [496007,386103]
[392989,759935] [412009,765042]
[966993,376019] [983000,364976]
[823996,485977] [840008,497005]
[661942,681000] [673000,664984]
[292982,382035] [301018,363989]
[623998,915147] [643000,909987]
[369996,906978] [388000,915028]
[186989,313971] [201006,328019]
[404993,705002] [406027,684998]
[573793,712997] [574048,733005]
[9923,157007] [12075,136999]
[501854,850000] [503137,829998]
[118980,82979] [133011,97030]
[966060,376999] [963896,397003]
[362973,886998] [369009,906032]
[674949,220001] [689033,205989]
[830986,593983] [844005,609021]
[35991,894029] [56018,890968]
[572988,221004] [582025,202975]
[133984,97008] [152006,87971]
[710972,758023] [723020,741991]
[188994,763173] [209025,758990]
[84994,954065] [104001,946956]
[598991,449995] [618022,457035]
[651955,740006] [663063,722990]
[331908,376996] [336035,397019]
[14967,104993] [19038,125000]
[757986,285028] [773034,270993]
[649987,595009] [655040,574977]
[47632,73000] [48078,51997]
[376993,774009] [392004,759992]
[402979,923999] [418028,938012]
[582984,202982] [597005,218048]
[24955,511995] [39011,527033]
[931998,308083] [953000,308022]
[148984,124013] [164016,109996]
[245995,508865] [267001,509001]
[547977,644024] [561067,627999]
[184960,75001] [185150,53996]
[159971,449957] [173010,466026]
[592996,597951] [614001,598042]
[555982,815021] [568059,797982]
[380163,815999] [377945,837004]
[874991,364002] [893003,353984]
[486978,196987] [493029,217007]
[355987,767973] [376003,774084]
[660880,700996] [663057,722004]
[72994,350001] [93018,343984]
[993086,384003] [983950,364984]
[540075,805002] [536908,783989]
[872993,106016] [882015,86975]
[813983,514003] [817046,492985]
[100988,551034] [122002,547939]
[180880,97000] [184008,75983]
[977983,306973] [982038,328008]
[962977,464003] [984030,459987]
[783985,286942] [798045,303014]
[77978,199050] [92026,182996]
[294990,589978] [311061,604034]
[816985,230034] [836003,219935]
[320982,188979] [341000,197026]
[945966,909008] [954006,888982]
[456935,405996] [477010,414024]
[38999,179938] [61005,181203]
[698200,589995] [697919,612001]
[242965,618986] [249032,640011]
[955928,666998] [956172,689002]
[595996,41998] [608065,60001]
[476968,381004] [478047,358998]
[754970,511987] [761019,533000]
[731984,154977] [741009,175021]
[31859,52003] [33013,29996]
[18993,464995] [41001,467036]
[489985,240005] [493063,217986]
[878986,259964] [898001,271028]
[366991,102987] [382007,119030]
[90983,912986] [108001,927025]
[715997,253977] [737021,261004]
[484979,774997] [499005,792021]
